# Date Time  Temperature (in degrees C)  dp (in mm H2O)  Specific Gravity
24-10-2020 18:24  21.7  0.01  1.041
24-10-2020 20:15  21.7  0.01
24-10-2020 21:58  21.7  0.01
24-10-2020 23:26  20.4  30
25-10-2020 00:51  20.0  50
25-10-2020 07:03  20.9  50
25-10-2020 12:07  20.0  50
25-10-2020 15:10  20.4  50
25-10-2020 19:11  20.6  50
25-10-2020 21:30  21.0  50
26-10-2020 04:30  19.1  40
26-10-2020 07:46  19.1  25
26-10-2020 10:18  19.7  20
26-10-2020 15:43  19.6  12
26-10-2020 20:54  18.1  10
26-10-2020 23:45  18.1  5
27-10-2020 07:25  18.2  2
27-10-2020 12:19  18.9  2
27-10-2020 15:42  18.9  3
27-10-2020 20:30  18.4  2
28-10-2020 00:16  18.5  2
28-10-2020 08:08  18.0  1
28-10-2020 13:43  18.9  1
28-10-2020 18:52  18.7  1
28-10-2020 23:55  18.9  0.5
29-10-2020 08:24  18.9  0.5
29-10-2020 12:44  18.4  0.5
29-10-2020 20:05  18.3  0.1
29-10-2020 23:43  18.2  1
30-10-2020 08:29  18.2  0.1
30-10-2020 14:08  18.4  0.1
30-10-2020 18:36  18.5  0.1
30-10-2020 23:41  18.7  0.1
31-10-2020 08:32  18.8  0.1
31-10-2020 14:21  18.0  0.1
31-10-2020 19:25  18.0  0.1
31-10-2020 23:43  18.3  0.1
01-11-2020 09:01  18.7  0.1
01-11-2020 13:22  18.5  0.1
01-11-2020 18:41  18.0  0.1
01-11-2020 23:28  18.4  0.1
02-11-2020 08:09  18.0  0.1
02-11-2020 13:24  18.2  0.1
02-11-2020 18:07  18.5  0.1
03-11-2020 00:29  18.1  0.1
03-11-2020 07:46  18.6  0.1
03-11-2020 13:16  18.4  0.1
03-11-2020 19:30  18.2  0.1
03-11-2020 23:30  18.7  0.1
04-11-2020 08:11  18.4  0.1
04-11-2020 13:26  18.7  0.1
04-11-2020 17:30  18.1  0.1
04-11-2020 19:30  18.0  0.1
04-11-2020 20:02  21.5  0.01  1.007
