# Batch_nr  Date_start  Date_end  Status

# Brouwpunt - Witbier
20  03-07-2022  22-07-2022  2  # Fermenting
20  22-07-2022  05-08-2022  3  # Carbonation
20  05-08-2022  02-09-2022  4  # Conditioning
20  02-09-2022  02-09-2022  5  # Completed

# Never Give Up! v3
21  03-07-2022  03-07-2022  1  # Brewing
21  03-07-2022  22-07-2022  2  # Fermenting
21  22-07-2022  05-08-2022  3  # Carbonation
21  05-08-2022  02-09-2022  4  # Conditioning
21  02-09-2022  02-09-2022  5  # Completed

# Wet Hops Blonde (Bramling-X)
22  04-09-2022  05-09-2022  1  # Brewing
22  05-09-2022  18-09-2022  2  # Fermenting
22  18-09-2022  03-10-2022  3  # Carbonation
22  03-10-2022  30-10-2022  4  # Conditioning
22  30-10-2022  30-10-2022  5  # Completed 

# Wet Hops Blonde (Willamette)
23  18-09-2022  18-09-2022  1  # Brewing
23  19-09-2022  04-10-2022  2  # Fermenting
23  04-10-2022  18-10-2022  3  # Carbonation
23  18-10-2022  15-11-2022  4  # Conditioning
23  15-11-2022  15-11-2022  5  # Completed

# Five Pints of Best Fuggles
24  06-11-2022  06-11-2022  1  # Brewing
24  07-11-2022  27-11-2022  2  # Fermenting
24  27-11-2022  05-12-2022  3  # Carbonation
24  11-12-2022  08-01-2023  4  # Conditioning
24  08-01-2023  08-01-2023  5  # Completed

# Two Pints and a Packet of Hops (Fuggle and East Kent Goldings)
25  06-11-2022  06-11-2022  1  # Brewing
25  07-11-2022  23-11-2022  2  # Fermenting
25  23-11-2022  07-12-2022  3  # Carbonation
25  07-12-2022  04-01-2023  4  # Conditioning
25  04-01-2023  04-01-2023  5  # Completed

# Two Pints and a Packet of Hops (Fuggle and Progress)
26  06-11-2022  06-11-2022  1  # Brewing
26  07-11-2022  23-11-2022  2  # Fermenting
26  23-11-2022  07-12-2022  3  # Carbonation
26  07-12-2022  04-01-2023  4  # Conditioning
26  04-01-2023  04-01-2023  5  # Completed

# SMaSH Godiva v2
27  15-01-2023  15-01-2023  1  # Brewing
27  16-01-2023  30-01-2023  2  # Fermenting
27  30-01-2023  13-02-2023  3  # Carbonation

# Two Pints and a Packet of Hops (Godiva and Progress)
28  15-01-2023  15-01-2023  1  # Brewing
28  16-01-2023  29-01-2023  2  # Fermenting
28  29-01-2023  12-02-2023  3  # Carbonation

# Two Pints and a Packet of Hops (Godiva and East Kent Goldings)
29  15-01-2023  15-01-2023  1  # Brewing
29  16-01-2023  29-01-2023  2  # Fermenting
29  29-01-2023  12-02-2023  3  # Carbonation

# Bodgington Bitter
30  05-02-2023  06-02-2023  1  # Brewing
30  06-02-2023  19-02-2023  2  # Fermenting
30  19-02-2023  05-03-2023  3  # Carbonation

# Bodgington Bitter v2
31  05-02-2023  06-02-2023  1  # Brewing
31  06-02-2023  19-02-2023  2  # Fermenting
31  19-02-2023  05-03-2023  3  # Carbonation

# Bodgington Bitter v3
32  05-02-2023  06-02-2023  1  # Brewing
32  06-02-2023  19-02-2023  2  # Fermenting
32  19-02-2023  05-03-2023  3  # Carbonation
