# Date Time  pH  Temperature
12-09-2021 10:48  4.45  21.1
12-09-2021 11:08  5.40  43.3
12-09-2021 11:13  5.40  38.3
12-09-2021 11:23  5.39  41.3
12-09-2021 11:34  5.38  43.8
12-09-2021 11:43  5.39  35.9
12-09-2021 11:53  5.38  35.8
12-09-2021 12:03  5.36  44.6

