# Date Time  Temperature (in degrees C)
20-12-2020 23:51  17.1
21-12-2020 08:59  17.1
21-12-2020 15:47  17.5
21-12-2020 23:20  17.8
22-12-2020 08:59  17.6
22-12-2020 15:17  17.5
22-12-2020 23:10  18.5
23-12-2020 08:42  18.8
23-12-2020 19:58  17.6
24-12-2020 10:07  17.5
24-12-2020 15:52  17.4
24-12-2020 23:07  17.4
25-12-2020 08:47  16.5
25-12-2020 19:39  16.7
25-12-2020 23:55  16.5
26-12-2020 11:41  16.5
26-12-2020 17:05  16.5
26-12-2020 22:56  16.7
27-12-2020 10:27  16.4
27-12-2020 17:09  16.6
27-12-2020 23:51  16.2
28-12-2020 09:36  16.4
28-12-2020 16:32  16.4
28-12-2020 22:56  16.4
29-12-2020 09:01  16.4
29-12-2020 18:18  16.5
29-12-2020 23:55  16.8
30-12-2020 14:56  16.4
30-12-2020 23:46  16.9
31-12-2020 23:48  16.6
01-01-2021 10:54  16.1
01-01-2021 18:31  16.1
01-01-2021 23:58  16.4
02-01-2021 11:14  16.4
02-01-2021 18:44  16.9
03-01-2021 00:28  16.0
03-01-2021 09:57  16.6
03-01-2021 16:44  16.4
03-01-2021 23:42  16.0
04-01-2021 07:22  16.7
04-01-2021 17:47  16.9
04-01-2021 23:50  16.9
05-01-2021 07:19  16.5
05-01-2021 14:22  16.5
05-01-2021 23:37  16.7
06-01-2021 09:05  16.0
06-01-2021 20:33  16.3
06-01-2021 23:56  16.4
07-01-2021 08:34  16.6
07-01-2021 14:23  16.8
07-01-2021 23:54  16.2
08-01-2021 08:40  16.7
08-01-2021 23:57  16.2
09-01-2021 10:39  16.7
09-01-2021 20:33  16.6
09-01-2021 23:59  16.0
10-01-2021 12:02  15.9
10-01-2021 17:03  16.0
10-01-2021 23:53  16.2
11-01-2021 08:54  15.1
11-01-2021 17:22  15.3
11-01-2021 23:58  15.5
12-01-2021 08:55  15.7
12-01-2021 14:17  16.5
12-01-2021 23:09  16.3
13-01-2021 08:44  16.4
13-01-2021 14:26  16.7
13-01-2021 23:27  16.1
14-01-2021 08:19  16.1
14-01-2021 11:49  16.4
14-01-2021 21:53  16.4
15-01-2021 08:54  16.7
15-01-2021 16:49  16.9
15-01-2021 23:53  16.9
16-01-2021 09:05  16.0
16-01-2021 17:36  15.9
16-01-2021 23:55  15.9
17-01-2021 10:44  15.2
17-01-2021 19:15  15.9
17-01-2021 23:40  15.6
18-01-2021 08:18  15.6
18-01-2021 12:55  15.5
18-01-2021 23:52  15.8
19-01-2021 08:45  15.1
19-01-2021 12:54  15.2
19-01-2021 23:20  15.6
20-01-2021 08:21  15.8
20-01-2021 15:54  15.1
20-01-2021 23:02  15.4
21-01-2021 08:37  15.3
21-01-2021 11:43  15.2
21-01-2021 20:17  15.7
21-01-2021 23:51  15.8
22-01-2021 10:11  15.9
22-01-2021 18:18  15.1
22-01-2021 23:58  15.9
23-01-2021 10:48  15.1
23-01-2021 22:19  15.9
24-01-2021 09:26  15.9
24-01-2021 17:31  15.5
24-01-2021 23:20  15.6
25-01-2021 09:25  15.4
25-01-2021 19:40  15.2
25-01-2021 23:36  15.4
26-01-2021 12:22  15.9
26-01-2021 20:49  15.5
26-01-2021 23:58  15.6
27-01-2021 08:29  15.7
27-01-2021 13:21  15.4
27-01-2021 20:24  15.3
27-01-2021 23:35  15.6
28-01-2021 08:36  15.2
28-01-2021 12:51  15.0
28-01-2021 18:28  15.7
28-01-2021 23:34  16.3
29-01-2021 08:48  16.3
29-01-2021 14:38  15.7
29-01-2021 23:57  15.7
30-01-2021 10:38  15.5
30-01-2021 18:50  15.6
30-01-2021 20:39  15.1
31-01-2021 17:32  15.6
31-01-2021 22:28  15.2
01-02-2021 09:58  15.6
01-02-2021 14:30  15.9
01-02-2021 22:07  15.3
01-02-2021 23:49  15.5
02-02-2021 07:18  15.0
02-02-2021 15:02  15.6
02-02-2021 23:44  15.9
03-02-2021 08:34  15.1
03-02-2021 19:03  15.2
03-02-2021 23:50  15.7
