# Date/Time  Temperature [C] SV = 19 C
02-03-2021 19:00  14.0
02-03-2021 19:15  14.2
02-03-2021 19:30  14.4
02-03-2021 19:45  14.6
02-03-2021 20:00  15.0
02-03-2021 20:15  15.1
02-03-2021 20:30  15.3
02-03-2021 20:45  15.5
02-03-2021 21:00  15.7
02-03-2021 21:15  15.8
02-03-2021 21:30  16.0
02-03-2021 21:45  16.3
02-03-2021 22:00  16.4
02-03-2021 22:15  16.6
02-03-2021 22:30  16.8
02-03-2021 22:45  17.0
02-03-2021 23:00  17.1
02-03-2021 23:15  17.4
02-03-2021 23:30  17.5
02-03-2021 23:45  17.7
03-03-2021 00:00  17.8
03-03-2021 00:15  18.0
03-03-2021 00:30  18.1
03-03-2021 00:45  17.9
03-03-2021 01:00  17.9
03-03-2021 01:15  18.1
03-03-2021 01:30  18.2
03-03-2021 01:45  18.4
03-03-2021 02:00  18.5
03-03-2021 02:15  18.7
03-03-2021 02:30  18.8
03-03-2021 02:45  18.7
03-03-2021 03:00  18.0
03-03-2021 03:15  18.5
03-03-2021 03:30  18.8
03-03-2021 03:45  19.0
03-03-2021 04:00  18.1
03-03-2021 04:15  18.3
03-03-2021 04:30  18.7
03-03-2021 04:45  18.7
03-03-2021 05:00  17.9
03-03-2021 05:15  18.6
03-03-2021 05:30  18.9
03-03-2021 05:45  18.8
03-03-2021 06:00  18.0
03-03-2021 06:15  18.6
03-03-2021 06:30  18.9
03-03-2021 06:45  18.4
03-03-2021 07:00  18.0
