# Date Time  pH  Temperature of sample
28-12-2021 11:15  5.30  39.7
28-12-2021 11:18  5.35  42.1
28-12-2021 11:22  5.33  43.7
28-12-2021 11:28  5.31  44.2
28-12-2021 11:35  5.31  40.6
28-12-2021 11:40  5.34  35.6
28-12-2021 11:51  5.33  39.9
28-12-2021 12:18  5.32  41.7
28-12-2021 12:25  5.30  44.6
28-12-2021 12:32  5.29  44.6

